,challengeId,submissionEndDate,technology,platforms
0,30000000,2006-10-20T00:12:00.000-04:00,,
1,30000002,2006-10-25T00:21:00.000-04:00,,
2,30000030,2006-11-13T01:00:00.000-05:00,"HTTP,JSF,Java",
3,30000070,2006-11-16T09:01:00.000-05:00,".NET,C#,WinForms Controls",
4,30000071,2006-11-16T09:01:00.000-05:00,".NET,C#,WinForms Controls",
5,30000072,2006-11-16T09:01:00.000-05:00,".NET,C#",
6,30000082,2006-11-16T09:01:00.000-05:00,Java,
7,30000087,2006-11-16T09:02:00.000-05:00,".NET,C#,XML,XSL",
8,30000088,2006-11-16T09:02:00.000-05:00,".NET,C#,WinForms Controls",
9,30000089,2006-11-16T09:02:00.000-05:00,".NET,C#,XML",
10,30000090,2006-11-17T10:16:00.000-05:00,".NET,C#,XML",
11,30000091,2006-11-16T09:02:00.000-05:00,".NET,C#",
12,30000093,2006-11-16T09:03:00.000-05:00,Java,
13,30000094,2006-11-16T09:03:00.000-05:00,".NET,C#",
14,30000095,2006-11-16T09:03:00.000-05:00,Java,
15,30000097,2006-11-16T09:03:00.000-05:00,".NET,C#,WinForms Controls,XML",
16,30000098,2006-11-16T09:08:00.000-05:00,".NET,C#",
17,30000099,2006-11-16T09:22:00.000-05:00,Java,
18,30000100,2006-11-16T12:42:00.000-05:00,"HTML,J2EE,JSF,Java",
19,30000101,2006-11-16T09:33:00.000-05:00,".NET,C#",
20,30000103,2006-11-16T10:00:00.000-05:00,".NET,C#",
21,30000104,2006-11-17T10:23:00.000-05:00,".NET,HTML,HTTP,XUL",
22,30000110,2006-11-16T18:00:00.000-05:00,".NET,C#",
23,30000111,2006-11-19T16:00:00.000-05:00,".NET,C#,XML",
24,30000113,2006-11-17T01:12:00.000-05:00,".NET,C#,HTML,HTTP",
25,30000114,2006-11-17T01:12:00.000-05:00,".NET,C#,COM",
26,30000115,2006-11-17T01:12:00.000-05:00,".NET,C#",
27,30000120,2006-11-17T13:00:00.000-05:00,".NET,C#",
28,30000121,2006-11-17T09:00:00.000-05:00,".NET,C#",
29,30000122,2006-11-17T10:17:00.000-05:00,".NET,C#",
30,30000123,2006-11-17T09:00:00.000-05:00,".NET,C#",
31,30000124,2006-11-17T10:17:00.000-05:00,".NET,C#",
32,30000125,2006-11-17T10:18:00.000-05:00,".NET,C#",
33,30000126,2006-11-17T09:00:00.000-05:00,"JDBC,Java",
34,30000127,2006-11-17T10:19:00.000-05:00,"JDBC,Java",
35,30000129,2006-11-23T09:00:00.000-05:00,".NET,C#",
36,30000130,2006-11-23T19:42:00.000-05:00,".NET,C#",
37,30000131,2006-11-23T09:00:00.000-05:00,".NET,C#",
38,30000132,2006-11-23T09:00:00.000-05:00,".NET,C#",
39,30000133,2006-11-23T09:00:00.000-05:00,".NET,C#,WinForms Controls",
40,30000134,2006-11-23T09:00:00.000-05:00,".NET,C#",
41,30000137,2006-11-23T09:00:00.000-05:00,".NET,C#",
42,30000138,2006-11-23T09:00:00.000-05:00,".NET,C#",
43,30000139,2006-11-23T09:00:00.000-05:00,".NET,C#",
44,30000140,2006-11-23T09:00:00.000-05:00,".NET,C#",
45,30000141,2006-11-23T09:00:00.000-05:00,".NET,C#",
46,30000142,2006-11-23T09:00:00.000-05:00,Java,
47,30000143,2006-11-23T09:00:00.000-05:00,"JDBC,Java",
48,30000144,2006-11-23T09:00:00.000-05:00,Java,
49,30000145,2006-11-23T09:00:00.000-05:00,Java,
50,30000148,2006-11-23T09:20:00.000-05:00,".NET,C#",
51,30000149,2006-11-23T09:35:00.000-05:00,".NET,C#",
52,30000150,2006-11-23T09:43:00.000-05:00,"Java,JavaBean",
53,30000151,2006-11-23T10:17:00.000-05:00,".NET,C#,WinForms Controls",
54,30000152,2006-11-23T10:24:00.000-05:00,".NET,C#,WinForms Controls,XML",
55,30000153,2006-11-23T10:45:00.000-05:00,Java,
56,30000154,2006-11-22T11:06:00.000-05:00,".NET,C#",
57,30000155,2006-11-23T09:22:00.000-05:00,".NET,C#",
58,30000156,2006-11-24T11:00:00.000-05:00,".NET,C#,XML,XSL",
59,30000157,2006-11-24T11:00:00.000-05:00,".NET,C#",
60,30000158,2006-11-24T11:30:00.000-05:00,".NET,C#",
61,30000159,2006-11-24T11:30:00.000-05:00,".NET,C#",
62,30000160,2006-11-17T19:28:00.000-05:00,".NET,C#,HTML,HTTP",
63,30000161,2006-11-24T18:30:00.000-05:00,".NET,C#",
64,30000162,2006-11-24T18:30:00.000-05:00,".NET,C#,HTML",
65,30000171,2006-11-27T09:30:00.000-05:00,".NET,C#,COM",
66,30000172,2006-11-27T09:45:00.000-05:00,".NET,C#,HTML,HTTP",
67,30000181,2006-12-04T12:00:00.000-05:00,".NET,C#,WinForms Controls",
68,30000182,2006-12-04T09:00:00.000-05:00,".NET,C#",
69,30000183,2006-12-04T09:00:00.000-05:00,".NET,C#",
70,30000184,2006-11-30T11:00:00.000-05:00,Java,
71,30000185,2006-11-30T11:00:00.000-05:00,".NET,C#",
72,30000186,2006-11-30T08:29:00.000-05:00,Java,
73,30000187,2006-11-30T09:00:00.000-05:00,Java,
74,30000188,2006-11-30T09:00:00.000-05:00,Java,
75,30000189,2006-11-30T05:04:00.000-05:00,Java,
76,30000190,2006-12-04T09:00:00.000-05:00,".NET,C#,WinForms Controls",
77,30000191,2006-11-30T09:00:00.000-05:00,,
78,30000192,2006-11-28T23:05:00.000-05:00,".NET,C#",
